Nombre para mostrar;Clr Clb Newucmdb;Clr Service Code;Subtipo;Grupo de administración de configuración;Clr Istatus;Título;Comentarios;Clr Arr Location;Fecha y hora de modificación del sistema
"fw-burica-zzpp025-03-50-zzpp036";"false";"zzpp036";"Firewall";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"FIREWALL TELMEX";"SOPORTE COMERCAL CORPORATIVO  //Bogota //TRANSVERSAL CARRERA 13A N° 119-12 // FIREWALL EN CLIENTE //5 MBPS";"Bogota //TRANSVERSAL CARRERA 13A N° 119-12 - Rack 1 U2";"09/03/22 03:47:54"
"FW-JEP1(fw-jep2)";"true";"KFFT023";"FIREWALL HA";"Datacenter - Seguridad Administrada";"(activo)";"Servicios Especiales Datacenter";"SOPORTE COMERCIAL CORPO // CORREO BOGOTA //TRIARA //SERVICIOS ESPECIALES DATACENTER (SERVICIOS PROFESIONALES DE SEGURIDAD) //";"TRIARA\BUNKER3\J7(AB)\27";"28/02/23 06:48:04"
"V134-HITSS";"false";"hcu0048";"VDOM Interface";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"PBX ADMINISTRADA";"ZTE - BOGOTA - CIERRE KO * * * * * * SOPORTE COMERCIAL CORP // CORREO // PBX ADMINISTRADA // Plaza Claro torre 2 piso 8 // Bogota   HCU0048";"";"28/05/21 03:30:11"
"fw-eltiempo1.eltiempo.com.co";"false";"tmp0287";"Firewall";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"FIREWALL TELMEX";"SOP COM CORP // SAP 6000011557 // FW EL TIEMPO CEET";"SEDE CLIENTE";"22/02/23 13:27:15"
"V17-INTERLLABCK (fw-chasis-bk3)";"false";"cidll16";"VDOM Interface";"Datacenter - Seguridad Administrada";"(activo)";"hosting";"Fierewall";"";"08/04/20 12:27:02"
"fmg-unilibre-vm64";"true";"ULI0246";"Unix";"Datacenter - Seguridad Administrada";"(activo)";"";"SOP COM CORP // BOGOTA // TRIARA // ADVANCED  MANAGED FIREWALL.";"";"24/04/23 02:24:12"
"V08-PEAJESE";"false";"pjg0072";"VDOM Interface";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"FIREWALL TELMEX";"SOP COM CORP // HOSTING MIGRACIÓN IPA // SERVICIO ADMINISTRADO DE FIREWALL + IPS ( 100 MPPS) TRIARA - ORTEZAL PJG0072";"";"04/06/21 03:32:31"
"V20-FiduOBack@FG3K1B3I11700698 (mithrandir)";"false";"fdo0162";"VDOM Interface";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"TELMEX SEGURIDAD";"SIFIWEB Firewall Centralizado Dedicado";"";"08/04/20 12:31:15"
"V188-MEDERI(fw_central_eyn02-n3)";"true";"EVN0048";"VDOM";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOPORTE COMERCIAL CORPO // CORREO// BOGOTA // TRIARA // FIREWALL CENTRALIZADO // 5 MBPS";"";"26/08/22 09:58:04"
"firewall mintic seattle";"false";"tfm4626";"Firewall";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"Servicios Especiales Datacenter";"CI_PROYECTO_FIREWALL_SEATTLE2_FISICO_14";"";"22/09/22 20:04:38"
"V07-CAPITAL(fw_central_eyn01-mega)";"true";"DNV0067";"VDOM";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"CAPITAL SALUD EPS  /// NINGUNO /// FIREWALL CENTRALIZADO MEGACENTER";"";"20/04/23 16:27:38"
"FGT30E5619078889(fw_gzm0227_fw-fanalca-gzm0138-182-gzm0227)";"true";"GZM0227";"FIREWALL HA";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOPORTE COMERCIAL CORPO // CORREO // CALI //CARRERA 1 NO, 22 - 58MOTORED //FIREWALL EN CLIENTE //5120// REEMPLAZO OT 14300632";"";"08/06/22 10:00:32"
"V27-CORTEIN1 (fw-chasis-bk4)";"false";"ixx0007";"VDOM Interface";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"FIREWALL TELMEX";"";"";"28/11/22 19:10:04"
"V02-CharlesBack@FG-5KC3E14800135 (fw-chasis-bk4)";"false";"hoa0010";"VDOM Interface";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"hoteles charleston s.a - firewall centralizado internet dedi";"No Administrado por CLARO //HOTELES CHARLESTON S.A - FIREWALL CENTRALIZADO  INTERNET DEDICADO HOSTING IDV: 1809744";"";"08/04/20 12:38:25"
"fw_aportesenlinea2";"true";"GYD0035";"Firewall";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"** FW HA TRIARA";"";"28/02/23 10:41:04"
"fw-spn_ibague.4-72.com.co";"true";"SQH0393";"Firewall";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOPORTE COMERCIAL CORPO // CORREO  //Ibagué //Regional Sur - IBAGUE - Km CARRERA 16 SUR No. 90-66, PARQUE EMPRESARIAL BERLÍN LOC 4. //FIREWALL EN CLIENTE //";"";"11/04/23 01:01:35"
"fw-cobos_triara2";"true";"LQHZ001";"Firewall";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOPORTE COMERCAIL CORP // CORREO // BOGOTA // TRIARA // FIREWALL CENTRALIZADO";"";"20/01/23 17:38:24"
"netxplorercentralizado";"true";"TFM1430";"Unix";"Datacenter - Seguridad Administrada";"(activo)";"Servicios Especiales Datacenter";"CI - Servidor de gestión NetXplorer en Plataforma virtualizada";"CLT205_TRI_INT_GESTIONCLARO | Virtualization Layer Software (d-tti5069-ee26-0204-dl620cg7.datacenterdhs.local)";"05/07/22 19:51:03"
"faz-d1";"true";"KCSAB71";"Unix";"Datacenter - Seguridad Administrada";"(activo)";"";"SOP COM CORP//  BOGOTA // DATACENTER TRIARA  // HOSTING (HOSTING VIRTUAL)";"";"21/04/23 03:24:46"
"V263-TRACK";"true";"VDO0042";"VDOM";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOP COM CORP // BOGOTA // DATA CENTER TRIARA // FIREWALL CENTRALIZADO // 5MB";"";"15/04/23 01:22:02"
"fw-burica-zzpp011-55-25-zzpp040";"false";"zzpp040";"Firewall";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"FIREWALL TELMEX";"SOPORTE COMERCAL CORPORATIVO  //Bogota //CALLE 59CSUR N° 51-21 LOCAL 1308 // FIREWALL EN CLIENTE //5 MBPS";"Bogota //CALLE 59CSUR N° 51-21 LOCAL 1308 - Rack 1 U2";"09/05/22 03:37:04"
"V06-MGNKOBA-VPN (mgmtvpnnodo2)";"false";"kcv0038";"VDOM Interface";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"FIREWALL TELMEX";"Firewall Administrado: Koba Colombia +Internet 3M // Licenciamiento Hasta 01-02-2018 // Contrato de soporte hasta 31-12-2017 // Servicios UTM : IPS + FW + FURL + VPNs  Vdom49 del Chasis";"";"19/08/20 23:19:16"
"fw_gzm0486_fw-fanalca-gzm0427-0484-485-gzm0486";"true";"GZM0486";"Computer";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOP COM CORP // CALI //AVENIDA 6A BIS # 35N-100 PISO 8 //AUTOCEIBA AV. 6A BIS //FIREWALL EN CLIENTE //5 MBPS // REEMPLAZO DE OT  14433657";"SEDE CLIENTE_FANALCA";"22/04/23 07:02:47"
"nx-cm00406-compensar.telmexla.net.co";"false";"cmp0406";"Unix";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP// BOGOTÁ // TRIARA //  HOSTING (HOSTING VIRTUAL)";"CLT313_TRI_COM_OCTADECACORE08_ACI | Virtualization Layer Software (c-tfm4073-gai12-0201-ch121v5.datacenterdhs.local)";"24/11/22 03:54:11"
"Administración de Correo";"false";"";"Infrastructure Service";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"";"";"";"08/04/20 08:06:55"
"fw-viva1-ips1";"true";"VAK0186";"Firewall";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOP COMERCIAL CORP / BARRANQUILLA /  CARRERA 53 # 68B – 125, PISO 2 */  FIREWALL EN CLIENTE";"TRIARA\BUNKER4\AK(AB)\25 TRIARA\BUNKER4\AE5(AB)\29";"22/04/23 01:33:43"
"FW-SPN-Ortezal";"false";"sqh0121";"Firewall HA";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"FIREWALL TELMEX";"";"ORTEZAL\BUNKER1\AC12(AB)\9";"24/02/23 10:05:02"
"FW-BRASILIA1";"false";"ebr0601";"Firewall HA";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"FIREWALL TELMEX";"SOPORTE COMERCIAL CORPORATIVO // BARRANQUILLA // CR 35 N° 44-63 // FIREWALL EN CLIENTE AL INCIDENTE 13389827";"";"19/12/22 10:49:45"
"V06_ODOCC";"true";"OFB0017";"VDOM";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOP COM CORP // BOGOTA // DATACENTER TRIARA // ADVANCED  MANAGED FIREWALL. //AUTOMATICO MASIVO INCIDENTES";"";"14/01/23 18:55:38"
"fw_zarate";"true";"IZG0006";"Firewall";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOP COM CORP // BOGOTA //  CALLE 92 # 11 -51  OFICINA 501 //  FIREWALL EN CLIENTE";"SEDE CLIENTE";"06/12/22 01:01:44"
"Chassis(coviandes)";"true";"FDD0040";"FIREWALL HA";"Datacenter - Seguridad Administrada";"(activo)";"SOLUCIONES ADMINISTRADAS";"SOAV - Seguridad - Firewall Interno";"";"08/06/22 09:59:55"
"FW_ACCESO_UNIFICADO1";"false";"tfm2449";"Firewall HA";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"Servicios Especiales Datacenter";"CI_CSC_PROYECTO_VPN_SSL_POLIEDRO_2";"";"10/12/21 03:33:50"
"fw_gzm0258_fw-fanalca-gzm0383-0487-gzm0258";"true";"GZM0258";"Computer";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOPORTE COMERCIAL CORPO // CORREO // BOGOTA //AVENIDA BOYACA # 6 B 20ADEINCO //FIREWALL EN CLIENTE //5120";"SEDE CLIENTE_FANALCA";"22/04/23 07:02:51"
"fw-hpsa_lab1";"true";"TFM1545";"Firewall";"Datacenter - Seguridad Administrada";"(activo)";"Servicios Especiales Datacenter";"CI - PROYECTO LAB PLATAFORMAS FW2";"TRIARA\BUNKER4\AJ5(AB)\32";"19/01/23 01:14:41"
"FGT30E5619078717(fw_gzm0260_fw-fanalca-gzm0112-179-437-gzm0260)";"true";"GZM0260";"FIREWALL HA";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOPORTE COMERCIAL CORPO // CORREO // CALI //AVENIDA , 3N # 44-212SUPERMOTOS DEL PACIFICO //FIREWALL EN CLIENTE //5120";"";"08/06/22 10:00:49"
"FGT30E5619055479(fw_gzm0157_fw_fanalca_gzm0085-84-169-gzm0157)";"true";"GZM0157";"FIREWALL HA";"Datacenter - Seguridad Administrada";"(activo)";"SOLUCIONES ADMINISTRADAS";"ZTE // MEDELLIN // INSTALACION AP - CLL 37 # 51 18 SUPERMOTOS DE MEDELLIN //SOLUCIONES ADMINISTRADAS (HOT SPOT) //REEMPLAZO OT 14300632";"";"08/06/22 10:01:08"
"FW-AGAUTOS2";"false";"adv0054";"Firewall HA";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"TELMEX SEGURIDAD";"""Servicio Firewall Centralizado Full UTM para 80 Mbps de BW, con el siguiente alcance: ? Firewall ? IPS ? Filtrado URL ? DLP ? Control de Aplicaciones ? Antivirus ? Diez VPNs Site To Site SSL""";"TRIARA\BUNKER4\AX13(AB)\8";"11/05/20 22:40:04"
"FW-CONSORCIO_2_MIG(fw-consorcio_1_mig)";"true";"CME0700";"FIREWALL HA";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOP COMERCIAL CORPO // CORREO // BOGOTÁ // TRIARA // FIREWALL EN CLIENTE";"";"19/04/23 19:02:20"
"fw-burica-zzpp049-16-24-zzpp037";"false";"zzpp037";"Firewall";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"FIREWALL TELMEX";"SOPORTE COMERCAL CORPORATIVO  //Cali //AVENIDA 5AN N° 26-17 // FIREWALL EN CLIENTE //5 MBPS   ZZPP037";"Cali //AVENIDA 5AN N° 26-17 - Rack 1 U2";"09/03/22 03:45:37"
"fw-sunrise-siberia";"true";"SUC0059";"Firewall";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOP COM CORP // SIBERIA // COORDENADAS 4.6775397, -74.1122391 VIA SIBERIA-FUNZA // FIREWALL EN CLIENTE //AUTOMATICO MASIVO INCIDENTES";"SEDE CLIENTE";"03/11/22 07:20:52"
"FG3H0E3917903489(fw-prever)";"true";"XRE0072";"FIREWALL HA";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOPORTE COMERCIAL CORPO //  BOGOTA / /TRIARA // FIREWALL EN CLIENTE  // FORTINET  // CORREO";"";"27/04/22 16:09:10"
"V08-Prod-DB (fw-cloud_aval_triara_aw13)";"false";"pjg0072";"VDOM Interface";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"TELMEX SEGURIDAD";"No Administrado por CLARO //SERVICIO ADMINISTRADO DE FIREWALL + IPS ( 100 MPPS) TRIARA - ORTEZAL";"";"08/04/20 09:12:46"
"faz-consorcio-mv";"false";"cme0703";"Firewall";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COMERCIAL CORPO // CORREO // BOGOTA //TRIARA // HOSTING (HOSTING VIRTUAL)";"";"12/04/23 11:00:55"
"V199-RUSH";"false";"rubh008";"VDOM Interface";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"E-BUSINESS COLLOCATION SERVICES";"SOP COM PYME // SIBERIA // AUTOPISTA MEDELLIN KM.7.5 CELTA TRADE PARK BODEGA 32 COTA, FUNZA, CUNDINAMARCA QR8C+PG FUNZA, CUNDINAMARCA QR7M+72 LA ISLA, TENJO, CUNDINAMARCA // COLLOCATION 10MB // DIRECCION NO EXISTE EN RR NO CUENTA MATRIZ//  RUBH008";"";"04/06/21 03:32:45"
"fw_servicios_especiales_bog_bodega";"true";"ZIFL059";"Computer";"Datacenter - Seguridad Administrada";"(activo)";"PAQUETE HOSTING";"ZTE_BOGOTA // CALLE 18 A SUR # 29B-47_CICSA_FO SIN VISITA TECNICA  // BANDA ANCHA  50MB + PULL DE IP´S";"SEDE CLIENTE";"19/01/23 19:05:41"
"fw_axa_torre_colpatria";"false";"sfw0177";"Firewall";"Datacenter - Seguridad Administrada";"(activo)";"Servicios de Seguridad";"FWf FG-30E Sede del cliente para servicio de WIFI";"";"08/04/20 15:41:41"
"scientific atlanta hms transponder";"false";"vab0082";"Firewall";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"FIREWALL TELMEX";"SOPORTE COMERCIAL CORPO//FIREWALL//TRIARA";"ORTEZAL\BUNKER1\AD12(AB)\23";"24/03/23 08:41:15"
"fw_axa_ibague";"true";"SGX0065";"Firewall";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOP. COMERCIAL CORP. // CORREO // IBAGUE // CALLE 35 NO. 4C-24 // FIREWALL";"";"01/12/22 01:12:10"
"fw-prever";"true";"XRE0072";"Firewall";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOPORTE COMERCIAL CORPO //  BOGOTA / /TRIARA // FIREWALL EN CLIENTE  // FORTINET  // CORREO";"SEDE CLIENTE";"27/04/22 16:02:56"
"fw-eltiempo1.eltiempo.com.co";"true";"TMP0287";"Firewall";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOP COM CORP // SAP 6000011557 // FW EL TIEMPO CEET";"";"11/03/23 01:20:31"
"fw_axa_pasto";"false";"sgx0063";"Firewall";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"FIREWALL TELMEX";"SOP. COMERCIAL CORP. // CORREO // PASTO // CARRERA 26 # 19-07 // FIREWALL";"SEDE CLIENTE";"11/10/22 13:39:14"
"V48-IMAGDIAPRO@FG-5KC3E14800276 (fw-chasis-bk4)";"false";"idytd11";"VDOM Interface";"Datacenter - Seguridad Administrada";"(activo)";"INTERNET DEDICADO TELMEX";"SOP COMERCIAL PYME //  BOGOTA DC   // DC TRIARA   //  INTERNET DEDICADO 20 MEGAS";"";"22/04/20 09:52:20"
"faz-vm-azure";"true";"CME0952";"Firewall";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOP COM CORP// BOGOTÁ // DATA CENTER TRIARA // FIREWALL EN CLIENTE";"SEDE CLIENTE";"22/04/23 01:07:48"
"V83-CRYSTAL";"false";"crys148";"VDOM Interface";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"FIREWALL TELMEX";"SOPORTE COMERCIAL CORP//CORREO//DC TRIARA//BOGOTA// FIREWALL CENTRALIZADO / E-COMMERCE";"";"01/09/22 14:22:44"
"V018-PROXY(fw_central_eyn02-n3)";"true";"FDD0063";"VDOM";"Datacenter - Seguridad Administrada";"(activo)";"CONTROL DE NAVEGACIÓN TELMEX";"Proxy Web Coviandes Triara // CONTROL DE NAVEGACION TELMEX // REEMPLAZO OT 5840919";"";"27/04/22 16:16:42"
"V05-ALPOBCK@FG1K5D3I14803459 (fw-cloud_aval_triara_aw13)";"false";"aag0277";"VDOM Interface";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"TELMEX SEGURIDAD";"SOP. COMERCIAL CORP. // SAP 6000007219 // Bogotá // Triara // FIREWALL // 100M";"";"08/04/20 09:52:20"
"tfm1906-ath";"true";"TFM1906";"Unix";"Datacenter - Seguridad Administrada";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // CORREO // BOGOTA DATACENTER TRIARA  // HOSTING DEDICADO";"CLT303_TRI_COM_DECACORE002 | Virtualization Layer Software (c-tfm0922-fav25-0202-bl620g7.datacenterdhs.local)";"10/08/22 20:46:23"
"FW_DECOR2";"false";"dek0105";"Firewall HA";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"FIREWALL TELMEX";"SOP COMERCIAL CORP / CALI /  Calle 66 #1n - 20 /  FIREWALL EN CLIENTE /FIREWALL FORTINET 80E";"";"24/06/22 10:20:17"
"fw_gzm0210_fw_fanalca_gzm0024_0023_0208_gzm021";"true";"GZM0210";"Computer";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOPORTE COMERCIAL CORPO // CORREO // MEDELLIN //CARRERA 81 # 35 - 25SUPERMOTOS DE ANTIOQUIA //FIREWALL EN CLIENTE //5120 // REEMPLAZO OT 14300632";"SEDE CLIENTE_FANALCA";"22/04/23 07:03:03"
"V05-FIDUAGR(fw-megacenter1)";"true";"SFD0069";"VDOM";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOP COMERCIAL CORP // CORREO // FIREWALL CENTRALIZADO // DATACENTER CLARO MEDELLIN - MEDELLIN";"";"27/04/22 16:13:42"
"V15-FIDUAGR";"true";"SFD0069";"VDOM";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOP COMERCIAL CORP // CORREO // FIREWALL CENTRALIZADO // DATACENTER CLARO MEDELLIN - MEDELLIN";"";"15/04/23 01:21:58"
"V51-INVERJ";"false";"iuv0373";"VDOM Interface";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"CONTROL DE NAVEGACIÓN TELMEX";"SOP COMERCIAL CORP // CORREO // BOGOTA //  DC TRIARA  // CONTROL DE NAVEGACIÓN";"";"01/03/23 12:21:07"
"fw_axa_medellin";"true";"SGX0075";"Firewall";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOP. COMERCIAL CORP. // CORREO // MEDELLÍN // CRA 42 NO 3 SUR 81 PISO 19 EDIFICIO MILLA DE ORO // FIREWALL";"";"11/04/23 01:01:39"
"av_tfm0301_dc";"true";"TFM0301";"Windows";"Datacenter - Seguridad Administrada";"(activo)";"E-BUSINESS HOSTING DEDICADO";"CI_ANTIVIRUSDC";"";"22/04/23 20:44:23"
"tfm2196";"true";"TFM2196";"Firewall";"Datacenter - Seguridad Administrada";"(activo)";"Servicios Especiales Datacenter";"CI_PROYECTO__ALLOT_CENTRALIZADO_ORTEZAL_1";"";"22/04/23 01:06:19"
"FGT30E5619078657(fw_zzpp041_fw-burica-zzpp020-12-46-zzpp041)";"true";"ZZPP041";"FIREWALL HA";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOPORTE COMERCAL CORPORATIVO  //Medellin //CALLE 7 N° 46-05 // FIREWALL EN CLIENTE //5 MBPS";"";"08/06/22 10:01:26"
"fw-fanalca-gzm0124-0364-363-gzm0261";"false";"gzm0261";"Firewall";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"FIREWALL TELMEX";"SOPORTE COMERCIAL CORPO // CORREO // BARRANQUILLA //CLLE77 # 59 -112 AUTOLAUREL //FIREWALL EN CLIENTE //8192";"SEDE CLIENTE_FANALCA";"01/11/22 15:27:05"
"V073-CLIMPI(fw_central_eyn02-n3)";"true";"CDL0022";"VDOM";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOPORTE COMERCIAL INTERMEDIAS // BOGOTA - TRIARA // FIREWALL CENTRALIZADO";"";"05/01/23 00:01:30"
"kcsab71_koba";"false";"kcsab71";"Others";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP//  BOGOTA // DATACENTER TRIARA  // HOSTING (HOSTING VIRTUAL)";"CLT313_TRI_COM_OCTADECACORE08_ACI | Virtualization Layer Software (172.18.215.128)";"09/09/22 04:39:57"
"V13-COLTFPROD (deimos)";"false";"cdi0173";"VDOM Interface";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"FIREWALL TELMEX";"SOP COMERCIAL CORP // CORREO // BOGOTA // ORTEZAL // FIREWALL 10mbps";"";"06/02/23 18:54:40"
"V04-MERANI (deimos)";"false";"fib0006";"VDOM Interface";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"FIREWALL TELMEX";"Firewall:";"";"19/08/20 23:17:15"
"fw_colsanitas-1";"true";"CSN0352";"Computer";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOP COM CORP// SIBERIA // DATACENTER TRIARA // FIREWALL EN DATACENTER";"TRIARA\BUNKER4\AS13(AB)\16 TRIARA\BUNKER4\AW05(AB)\30";"21/03/23 19:02:12"
"V34-BANCBCK (fw-chasis-bk3)";"false";"bdx0046";"VDOM Interface";"Datacenter - Seguridad Administrada";"(activo)";"firewall";"ID SAP 200016429 // SERVICIO DE COLLOCATION - FIREWALL CENTRALIZADO + IPS 5M";"";"22/04/20 09:52:22"
"VPN_Comfe2 (fw-inverfas2)";"false";"isa0073";"VDOM Interface";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"MANAGED VPN";"TRIARA  servicio de implementación y administración de VPNs así: VPN site to site Cantidad 50 VPN Client to site Cantidad 100.  Se presta el Servicio sobre el  Firewall fortinet 200D en HA  que se va a implementar.";"";"19/08/20 23:17:50"
"fw-vpn1-consorcio";"false";"ucs0190";"Firewall";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"TELMEX MANAGED SERVICES";"MANAGED VPN";"TRIARA\BUNKER3\F7(AB)\14";"11/01/23 12:52:36"
"V41-FIDUCORBCK (fw-chasis-bk4)";"false";"qca0003";"VDOM Interface";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"FIREWALL TELMEX";"No Administrado por CLARO //Firewall perimetral para su internet Dedicado";"";"19/08/20 23:17:09"
